#tag	level	xp	maxmembers	oficialonly	
LEVEL	1	0	25	0	
LEVEL	2	1250	30	0	
LEVEL	3	2500	30	0	
LEVEL	4	3750	35	0	
LEVEL	5	5000	35	0	
LEVEL	6	6250	40	0	
LEVEL	7	7500	40	0	
LEVEL	8	8750	45	0	
LEVEL	9	10000	45	0	
LEVEL	10	11250	50	0	
LEVEL	11	12500	50	1	
LEVEL	12	13750	50	1	
LEVEL	13	15000	50	1	
LEVEL	14	16250	50	1	
LEVEL	15	17500	50	1	
LEVEL	16	18750	50	1	
LEVEL	17	20000	50	1	
LEVEL	18	22250	50	1	
LEVEL	19	23500	50	1	
LEVEL	20	24750	60	1	
LEVEL	21	26000	60	1	
LEVEL	22	27250	60	1	
LEVEL	23	28500	60	1	
LEVEL	24	29750	60	1	
LEVEL	25	31000	60	1	
LEVEL	26	32250	60	1	
LEVEL	27	34500	60	1	
LEVEL	28	35750	60	1	
LEVEL	29	37000	60	1	
LEVEL	30	38250	70	1	
LEVEL	31	39500	70	1	
LEVEL	32	40750	70	1	
LEVEL	33	42000	70	1	
LEVEL	34	43250	70	1	
LEVEL	35	45500	70	1	
LEVEL	36	46750	70	1	
LEVEL	37	48000	70	1	
LEVEL	38	49250	70	1	
LEVEL	39	50500	70	1	
LEVEL	40	52750	80	1	
LEVEL	41	54000	80	1	
LEVEL	42	55250	80	1	
LEVEL	43	56500	80	1	
LEVEL	44	58750	80	1	
LEVEL	45	60000	80	1	
LEVEL	46	61250	80	1	
LEVEL	47	62500	80	1	
LEVEL	48	64750	80	1	
LEVEL	49	66000	80	1	
LEVEL	50	67250	90	1	
LEVEL	51	68500	90	1	
LEVEL	52	70750	90	1	
LEVEL	53	72000	90	1	
LEVEL	54	74250	90	1	
LEVEL	55	75500	90	1	
LEVEL	56	76750	90	1	
LEVEL	57	79000	90	1	
LEVEL	58	80250	90	1	
LEVEL	59	82500	90	1	
LEVEL	60	83750	100	1	
LEVEL	61	86000	100	1	
LEVEL	62	87250	100	1	
LEVEL	63	89500	100	1	
LEVEL	64	90750	100	1	
LEVEL	65	93000	100	1	
LEVEL	66	94250	100	1	
LEVEL	67	96500	100	1	
LEVEL	68	97750	100	1	
LEVEL	69	100000	100	1	
LEVEL	70	102250	105	1	
LEVEL	71	104500	105	1	
LEVEL	72	105750	105	1	
LEVEL	73	108000	105	1	
LEVEL	74	110250	105	1	
LEVEL	75	112500	105	1	
LEVEL	76	114750	105	1	
LEVEL	77	117000	105	1	
LEVEL	78	119250	105	1	
LEVEL	79	121500	105	1	
LEVEL	80	123750	110	1	
LEVEL	81	126000	110	1	
LEVEL	82	128250	110	1	
LEVEL	83	130500	110	1	
LEVEL	84	132750	110	1	
LEVEL	85	135000	110	1	
LEVEL	86	138250	110	1	
LEVEL	87	140500	110	1	
LEVEL	88	143750	110	1	
LEVEL	89	146000	110	1	
LEVEL	90	149250	115	1	
LEVEL	91	151500	115	1	
LEVEL	92	154750	115	1	
LEVEL	93	158000	115	1	
LEVEL	94	161250	115	1	
LEVEL	95	164500	115	1	
LEVEL	96	167750	115	1	
LEVEL	97	171000	115	1	
LEVEL	98	174250	115	1	
LEVEL	99	177500	115	1	
LEVEL	100	180750	120	1	
